DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
						0	0	0	0																													#F989A2	None	None	None	1500	reading_bl_training_text	7	0	Reading_Baseline_training_click	None	Mitternacht																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	882.288932800293	reading_bl_training_text	8	0	Reading_Baseline_training_click	None	von																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#88BA3F	None	None	None	698.8589763641357	reading_bl_training_text	9	0	Reading_Baseline_training_click	None	New																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	715.595006942749	reading_bl_training_text	10	0	Reading_Baseline_training_click	None	York																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	698.8401412963867	reading_bl_training_text	11	0	Reading_Baseline_training_click	None	nach																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	765.8250331878662	reading_bl_training_text	12	0	Reading_Baseline_training_click	None	Buenos																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	615.7369613647461	reading_bl_training_text	13	0	Reading_Baseline_training_click	None	Aires																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	831.7677974700928	reading_bl_training_text	14	0	Reading_Baseline_training_click	None	abgehen																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	798.9070415496826	reading_bl_training_text	15	0	Reading_Baseline_training_click	None	"sollte,"																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	848.8249778747559	reading_bl_training_text	16	0	Reading_Baseline_training_click	None	herrschte																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	899.3089199066162	reading_bl_training_text	17	0	Reading_Baseline_training_click	None	geschäftiges																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#88BA3F	None	None	None	815.3970241546631	reading_bl_training_text	18	0	Reading_Baseline_training_click	None	Treiben.																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	831.7570686340332	reading_bl_training_text	19	0	Reading_Baseline_training_click	None	Einige																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	632.3490142822266	reading_bl_training_text	20	0	Reading_Baseline_training_click	None	Reporter																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	732.4891090393066	reading_bl_training_text	21	0	Reading_Baseline_training_click	None	interviewten																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#88BA3F	None	None	None	580.3320407867432	reading_bl_training_text	22	0	Reading_Baseline_training_click	None	den																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#88BA3F	None	None	None	665.2030944824219	reading_bl_training_text	23	0	Reading_Baseline_training_click	None	berühmten																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	950.2789974212646	reading_bl_training_text	24	0	Reading_Baseline_training_click	None	Weltschachmeister																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	765.9521102905273	reading_bl_training_text	25	0	Reading_Baseline_training_click	None	Mirko																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	1099.092960357666	reading_bl_training_text	26	0	Reading_Baseline_training_click	None	"Czentovic,"																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#D292F3	None	None	None	932.6050281524658	reading_bl_training_text	27	0	Reading_Baseline_training_click	None	der																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#F989A2	None	None	None	565.4439926147461	reading_bl_training_text	28	0	Reading_Baseline_training_click	None	nach																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	666.2089824676514	reading_bl_training_text	29	0	Reading_Baseline_training_click	None	Argentinien																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																													#88BA3F	None	None	None	598.7770557403564	reading_bl_training_text	30	0	Reading_Baseline_training_click	None	reiste.																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			294.2031638622284	Q1	1	a	True	1	None																	OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			303.8648729324341	Q2	3	c	True	1	None																	OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			312.15139293670654	Q3	1	a	True	1	None																	OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						0	0	0	0																																															320.9716329574585	320.9716589450836	321.01211285591125	321.01212787628174	321.0205428600311	321.0205547809601	321.0370547771454										OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0	321.05345582962036																									321.03740787506104	321.0535008907318	321.0535078048706	#88BA3F	None	None	None	896.8908786773682	text_04	1	1	Reading_Baseline_main_click	None	Manche																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#88BA3F	None	None	None	732.1009635925293	text_04	2	1	Reading_Baseline_main_click	None	Orte																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#F989A2	None	None	None	800.0240325927734	text_04	3	1	Reading_Baseline_main_click	None	sind																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	763.8330459594727	text_04	4	1	Reading_Baseline_main_click	None	nur																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	766.1528587341309	text_04	5	1	Reading_Baseline_main_click	None	aus																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	732.7291965484619	text_04	6	1	Reading_Baseline_main_click	None	der																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	733.3388328552246	text_04	7	1	Reading_Baseline_main_click	None	Luft																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#F989A2	None	None	None	731.7829132080078	text_04	8	1	Reading_Baseline_main_click	None	wirklich																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#88BA3F	None	None	None	765.434980392456	text_04	9	1	Reading_Baseline_main_click	None	zugänglich.																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	865.8201694488525	text_04	10	1	Reading_Baseline_main_click	None	Bertus																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	781.3520431518555	text_04	11	1	Reading_Baseline_main_click	None	Schoeman																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#F989A2	None	None	None	682.6307773590088	text_04	12	1	Reading_Baseline_main_click	None	fliegt																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	682.6279163360596	text_04	13	1	Reading_Baseline_main_click	None	oft																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#F989A2	None	None	None	682.2359561920166	text_04	14	1	Reading_Baseline_main_click	None	mit																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#F989A2	None	None	None	799.8158931732178	text_04	15	1	Reading_Baseline_main_click	None	seinem																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	565.2079582214355	text_04	16	1	Reading_Baseline_main_click	None	Flugzeug																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	614.4599914550781	text_04	17	1	Reading_Baseline_main_click	None	über																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	582.8919410705566	text_04	18	1	Reading_Baseline_main_click	None	die																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#88BA3F	None	None	None	831.6860198974609	text_04	19	1	Reading_Baseline_main_click	None	"unwirtliche,"																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	899.5680809020996	text_04	20	1	Reading_Baseline_main_click	None	aber																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#88BA3F	None	None	None	665.3540134429932	text_04	21	1	Reading_Baseline_main_click	None	trotzdem																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#88BA3F	None	None	None	782.3381423950195	text_04	22	1	Reading_Baseline_main_click	None	wunderschöne																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#F989A2	None	None	None	798.2709407806396	text_04	23	1	Reading_Baseline_main_click	None	Küste																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#88BA3F	None	None	None	848.8070964813232	text_04	24	1	Reading_Baseline_main_click	None	Namibias.																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	732.7079772949219	text_04	25	1	Reading_Baseline_main_click	None	Er																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	698.7121105194092	text_04	26	1	Reading_Baseline_main_click	None	zeigt																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
						1	0	1	0																													#D292F3	None	None	None	748.8608360290527	text_04	27	1	Reading_Baseline_main_click	None	Touristen																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
