DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	self-paced_blocks	paced_blocks	testing_mode	date	expName	psychopyVersion	expStart	
						0	0	0	0																													#D292F3	None	None	None	1166.68701171875	reading_bl_training_text	21	0	Reading_Baseline_training_click	None	interviewten																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#F989A2	None	None	None	617.5739765167236	reading_bl_training_text	22	0	Reading_Baseline_training_click	None	den																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#88BA3F	None	None	None	798.8371849060059	reading_bl_training_text	23	0	Reading_Baseline_training_click	None	berühmten																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1014.5590305328369	reading_bl_training_text	24	0	Reading_Baseline_training_click	None	Weltschachmeister																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#D292F3	None	None	None	799.1740703582764	reading_bl_training_text	25	0	Reading_Baseline_training_click	None	Mirko																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#F989A2	None	None	None	1516.7300701141357	reading_bl_training_text	26	0	Reading_Baseline_training_click	None	"Czentovic,"																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#D292F3	None	None	None	964.1621112823486	reading_bl_training_text	27	0	Reading_Baseline_training_click	None	der																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	615.8270835876465	reading_bl_training_text	28	0	Reading_Baseline_training_click	None	nach																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#F989A2	None	None	None	800.2800941467285	reading_bl_training_text	29	0	Reading_Baseline_training_click	None	Argentinien																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																													#88BA3F	None	None	None	917.6688194274902	reading_bl_training_text	30	0	Reading_Baseline_training_click	None	reiste.																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			202.03146386146545	Q1	NA	NA	False	1	None																	MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			212.08795380592346	Q2	3	c	True	1	None																	MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			220.68044877052307	Q3	1	a	True	1	None																	MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						0	0	0	0																																															225.19293093681335	225.1929578781128	225.2320318222046	225.23204493522644	225.24295377731323	225.24297285079956	225.25859999656677										MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0	225.2750208377838																									225.25892281532288	225.2750768661499	225.27509093284607	#D292F3	None	None	None	1100.6300449371338	text_02	1	1	Reading_Baseline_main_click	None	In																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#F989A2	None	None	None	1147.7949619293213	text_02	2	1	Reading_Baseline_main_click	None	Tansania																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	548.3529567718506	text_02	3	1	Reading_Baseline_main_click	None	haben																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	649.3129730224609	text_02	4	1	Reading_Baseline_main_click	None	Forscher																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#D292F3	None	None	None	748.9631175994873	text_02	5	1	Reading_Baseline_main_click	None	Überreste																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#88BA3F	None	None	None	515.5429840087891	text_02	6	1	Reading_Baseline_main_click	None	eines																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
