DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
						0	0	0	0																													#2AB7EF	None	None	None	314.3281936645508	reading_bl_training_text	14	0	Reading_Baseline_training_click	None	abgehen																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	497.8010654449463	reading_bl_training_text	15	0	Reading_Baseline_training_click	None	"sollte,"																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	514.9729251861572	reading_bl_training_text	16	0	Reading_Baseline_training_click	None	herrschte																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	682.6651096343994	reading_bl_training_text	17	0	Reading_Baseline_training_click	None	geschäftiges																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#88BA3F	None	None	None	430.9420585632324	reading_bl_training_text	18	0	Reading_Baseline_training_click	None	Treiben.																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	1433.0439567565918	reading_bl_training_text	19	0	Reading_Baseline_training_click	None	Einige																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	582.0150375366211	reading_bl_training_text	20	0	Reading_Baseline_training_click	None	Reporter																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	531.1980247497559	reading_bl_training_text	21	0	Reading_Baseline_training_click	None	interviewten																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	598.8609790802002	reading_bl_training_text	22	0	Reading_Baseline_training_click	None	den																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	431.6070079803467	reading_bl_training_text	23	0	Reading_Baseline_training_click	None	berühmten																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	680.6468963623047	reading_bl_training_text	24	0	Reading_Baseline_training_click	None	Weltschachmeister																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	1049.616813659668	reading_bl_training_text	25	0	Reading_Baseline_training_click	None	Mirko																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#D292F3	None	None	None	798.9521026611328	reading_bl_training_text	26	0	Reading_Baseline_training_click	None	"Czentovic,"																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#F989A2	None	None	None	531.1641693115234	reading_bl_training_text	27	0	Reading_Baseline_training_click	None	der																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
