blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,empty_placeholder.started,word,colour,target,nback_response,nback_RT,block_kind,duration,text_nr,block_nr,trial_nr,participant,age,handedness,gender,testing_mode,date,expName,psychopyVersion,frameRate,
0,0,0,0,,während,#2AB7EF,None,None,None,None,0.4140591659961501,reading_bl_training_text,Reading_Baseline_training,58,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,das,#F989A2,None,None,None,None,0.3965593409957364,reading_bl_training_text,Reading_Baseline_training,59,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Orchester,#F989A2,None,None,None,None,0.4205590920028044,reading_bl_training_text,Reading_Baseline_training,60,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,unerschütterlich,#2AB7EF,None,None,None,None,0.4254901180102024,reading_bl_training_text,Reading_Baseline_training,61,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,zur,#2AB7EF,None,None,None,None,0.44183483900269493,reading_bl_training_text,Reading_Baseline_training,62,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Deckshow,#F989A2,None,None,None,None,0.451168585990672,reading_bl_training_text,Reading_Baseline_training,63,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,spielte.,#88BA3F,None,None,None,None,0.4971618960116757,reading_bl_training_text,Reading_Baseline_training,64,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Ich,#F989A2,None,None,None,None,0.4137138400110416,reading_bl_training_text,Reading_Baseline_training,65,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,stand,#88BA3F,None,None,None,None,0.4633820070012007,reading_bl_training_text,Reading_Baseline_training,66,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,im,#2AB7EF,None,None,None,None,0.4127950420079287,reading_bl_training_text,Reading_Baseline_training,67,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Gespräch,#F989A2,None,None,None,None,0.3894464949989924,reading_bl_training_text,Reading_Baseline_training,68,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,mit,#D292F3,None,None,None,None,0.3935286899941275,reading_bl_training_text,Reading_Baseline_training,69,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,einem,#D292F3,None,None,None,None,0.39497299399226904,reading_bl_training_text,Reading_Baseline_training,70,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Bekannten,#88BA3F,None,None,None,None,0.4103251719934633,reading_bl_training_text,Reading_Baseline_training,71,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,etwas,#D292F3,None,None,None,None,0.43455616100982297,reading_bl_training_text,Reading_Baseline_training,72,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,abseits,#F989A2,None,None,None,None,0.41939616700983606,reading_bl_training_text,Reading_Baseline_training,73,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,von,#F989A2,None,None,None,None,0.41282141901319847,reading_bl_training_text,Reading_Baseline_training,74,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,diesem,#88BA3F,None,None,None,None,0.3953053020086372,reading_bl_training_text,Reading_Baseline_training,75,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Getümmel,#88BA3F,None,None,None,None,0.4488972320104949,reading_bl_training_text,Reading_Baseline_training,76,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,auf,#D292F3,None,None,None,None,0.42953693099843804,reading_bl_training_text,Reading_Baseline_training,77,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,dem,#2AB7EF,None,None,None,None,0.3908933830098249,reading_bl_training_text,Reading_Baseline_training,78,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"Promenadendeck,",#D292F3,None,None,None,None,0.42771803999494296,reading_bl_training_text,Reading_Baseline_training,79,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,als,#88BA3F,None,None,None,None,0.23202750300697517,reading_bl_training_text,Reading_Baseline_training,80,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,neben,#2AB7EF,None,None,None,None,0.1299782340065576,reading_bl_training_text,Reading_Baseline_training,81,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,uns,#2AB7EF,None,None,None,None,0.1670905130013125,reading_bl_training_text,Reading_Baseline_training,82,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,zwei-,#F989A2,None,None,None,None,0.14798510100808926,reading_bl_training_text,Reading_Baseline_training,83,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,oder,#D292F3,None,None,None,None,0.15740675599954557,reading_bl_training_text,Reading_Baseline_training,84,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,dreimal,#88BA3F,None,None,None,None,0.1778796809958294,reading_bl_training_text,Reading_Baseline_training,85,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Blitzlicht,#D292F3,None,None,None,None,0.15708301198901609,reading_bl_training_text,Reading_Baseline_training,86,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,scharf,#F989A2,None,None,None,None,0.14788689400302246,reading_bl_training_text,Reading_Baseline_training,87,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
