DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	self-paced_blocks	paced_blocks	testing_mode	date	expName	psychopyVersion	expStart	
						0	0	0	0																													#88BA3F	None	None	None	648.655891418457	reading_bl_training_text	12	0	Reading_Baseline_training_click	None	Buenos																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	682.5060844421387	reading_bl_training_text	13	0	Reading_Baseline_training_click	None	Aires																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	698.5869407653809	reading_bl_training_text	14	0	Reading_Baseline_training_click	None	abgehen																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	731.5719127655029	reading_bl_training_text	15	0	Reading_Baseline_training_click	None	"sollte,"																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	983.4330081939697	reading_bl_training_text	16	0	Reading_Baseline_training_click	None	herrschte																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	681.7529201507568	reading_bl_training_text	17	0	Reading_Baseline_training_click	None	geschäftiges																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	748.3608722686768	reading_bl_training_text	18	0	Reading_Baseline_training_click	None	Treiben.																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1500	reading_bl_training_text	19	0	Reading_Baseline_training_click	None	Einige																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	547.8029251098633	reading_bl_training_text	20	0	Reading_Baseline_training_click	None	Reporter																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	998.560905456543	reading_bl_training_text	21	0	Reading_Baseline_training_click	None	interviewten																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	766.185998916626	reading_bl_training_text	22	0	Reading_Baseline_training_click	None	den																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	716.5169715881348	reading_bl_training_text	23	0	Reading_Baseline_training_click	None	berühmten																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	1132.4350833892822	reading_bl_training_text	24	0	Reading_Baseline_training_click	None	Weltschachmeister																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	649.1379737854004	reading_bl_training_text	25	0	Reading_Baseline_training_click	None	Mirko																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	798.6280918121338	reading_bl_training_text	26	0	Reading_Baseline_training_click	None	"Czentovic,"																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#F989A2	None	None	None	766.1969661712646	reading_bl_training_text	27	0	Reading_Baseline_training_click	None	der																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	665.3790473937988	reading_bl_training_text	28	0	Reading_Baseline_training_click	None	nach																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#D292F3	None	None	None	699.6369361877441	reading_bl_training_text	29	0	Reading_Baseline_training_click	None	Argentinien																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																													#88BA3F	None	None	None	1033.0288410186768	reading_bl_training_text	30	0	Reading_Baseline_training_click	None	reiste.																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			228.09583616256714	Q1	2	b	False	1	None																	OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			228.69303703308105	Q2	3	c	True	1	None																	OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			234.70602703094482	Q3	1	a	True	1	None																	OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						0	0	0	0																																															239.09983921051025	239.09986019134521	239.14014601707458	239.14015913009644	239.14990520477295	239.1499171257019	239.1663851737976										OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0	239.18264412879944																									239.16670513153076	239.182687997818	239.18269515037537	#88BA3F	None	None	None	1500	text_04	1	1	Reading_Baseline_main_click	None	Manche																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	1500	text_04	2	1	Reading_Baseline_main_click	None	Orte																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	1500	text_04	3	1	Reading_Baseline_main_click	None	sind																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	1500	text_04	4	1	Reading_Baseline_main_click	None	nur																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	1500	text_04	5	1	Reading_Baseline_main_click	None	aus																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	799.4039058685303	text_04	6	1	Reading_Baseline_main_click	None	der																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	1249.143123626709	text_04	7	1	Reading_Baseline_main_click	None	Luft																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	1249.1989135742188	text_04	8	1	Reading_Baseline_main_click	None	wirklich																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	680.9940338134766	text_04	9	1	Reading_Baseline_main_click	None	zugänglich.																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	614.6011352539062	text_04	10	1	Reading_Baseline_main_click	None	Bertus																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	681.6558837890625	text_04	11	1	Reading_Baseline_main_click	None	Schoeman																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	749.2530345916748	text_04	12	1	Reading_Baseline_main_click	None	fliegt																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	732.7568531036377	text_04	13	1	Reading_Baseline_main_click	None	oft																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	649.7600078582764	text_04	14	1	Reading_Baseline_main_click	None	mit																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	582.2939872741699	text_04	15	1	Reading_Baseline_main_click	None	seinem																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	598.1161594390869	text_04	16	1	Reading_Baseline_main_click	None	Flugzeug																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	615.0519847869873	text_04	17	1	Reading_Baseline_main_click	None	über																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	582.4398994445801	text_04	18	1	Reading_Baseline_main_click	None	die																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	664.6280288696289	text_04	19	1	Reading_Baseline_main_click	None	"unwirtliche,"																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	615.6139373779297	text_04	20	1	Reading_Baseline_main_click	None	aber																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	582.6961994171143	text_04	21	1	Reading_Baseline_main_click	None	trotzdem																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	614.6290302276611	text_04	22	1	Reading_Baseline_main_click	None	wunderschöne																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	798.3260154724121	text_04	23	1	Reading_Baseline_main_click	None	Küste																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	647.9718685150146	text_04	24	1	Reading_Baseline_main_click	None	Namibias.																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	631.9808959960938	text_04	25	1	Reading_Baseline_main_click	None	Er																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	565.4568672180176	text_04	26	1	Reading_Baseline_main_click	None	zeigt																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	598.2060432434082	text_04	27	1	Reading_Baseline_main_click	None	Touristen																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#D292F3	None	None	None	582.2780132293701	text_04	28	1	Reading_Baseline_main_click	None	die																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	598.3409881591797	text_04	29	1	Reading_Baseline_main_click	None	beeindruckenden																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	648.8149166107178	text_04	30	1	Reading_Baseline_main_click	None	Schiffswracks																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	615.7000064849854	text_04	31	1	Reading_Baseline_main_click	None	und																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	582.4081897735596	text_04	32	1	Reading_Baseline_main_click	None	die																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	598.3808040618896	text_04	33	1	Reading_Baseline_main_click	None	einzigartigen																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#F989A2	None	None	None	598.7198352813721	text_04	34	1	Reading_Baseline_main_click	None	Landschaften																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
						1	0	1	0																													#88BA3F	None	None	None	581.8428993225098	text_04	35	1	Reading_Baseline_main_click	None	von																								OA04	yes	yes	no	2024-08-28_08h04.29.593	EXNAT_3_training	2024.1.0	2024-08-28 08h13.29.847142 +0200	
